Group_Name,Group_QID,Member_Name_EN,Member_Name_KO,Member_QID,Kind,Source
Baby V.O.X,Q490213,차유미,차유미,Q16166390,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Jung Shi-woon,정시운,Q12615793,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Kan Mi-youn,간미연,Q489010,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Kim E-Z,김이지,Q5372469,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Lee Gai,이가이,Q12610817,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Lee Hee-jin,이희진,Q3079167,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Shim Eun-jin,심은진,Q625442,GROUP,Wikidata_P463_P527
Baby V.O.X,Q490213,Yoon Eun-hye,윤은혜,Q494725,GROUP,Wikidata_P463_P527
Baek A Yeon,Q497735,Baek A-yeon,백아연,Q497735,SOLO,Wikidata_Entity
Baekho,Q30014972,Baekho,강동호,Q30014972,SOLO,Wikidata_Entity
Be'O,Q110268956,Be'O,비오,Q110268956,SOLO,Wikidata_Entity
Berry Good,Q18381082,Gowoon,고운,Q63993919,GROUP,Wikidata_P463_P527
Berry Good,Q18381082,Johyun,조현,Q63922309,GROUP,Wikidata_P463_P527
Berry Good,Q18381082,Kang Se-hyung,강세형,Q63975266,GROUP,Wikidata_P463_P527
